Name,Phys,Str,Sls,Thr,Mag,Fire,Light,Dark,Poise,Poison,Bleed,Petrify,Curse,Dur,Weight,Scaling,Prerequisite,Reinforcement,Effect,Def/Weight,Poise/Weight,Mag/Weight,Total Magic Def,Total Defense,Total Def/Weight
Lion Mage Robe+10,79,83,72,72,74,60,62,74,0,34,34,40,90,40,2.2,B,,Titanite,Casting Speed +,35.91,0,30.68,270,497,225.91
Lion Mage Robe,39,41,36,36,37,30,31,32,0,17,17,20,45,40,2.2,B,,Titanite,Casting Speed +,17.73,0,14.77,130,243,110.45
Prisoner's Tatters (2)+10,22,25,21,21,23,23,33,26,0,26,19,0,0,25,2.2,B,,Titanite,Item Discovery +,10,0,11.93,105,172,78.18
Prisoner's Tatters+10,22,25,21,21,23,23,33,26,0,26,19,0,0,25,2.2,B,,Titanite,Item Discovery +,10,0,11.93,105,172,78.18
Prisoner's Tatters (2),11,12,11,11,11,11,17,13,0,13,10,0,0,25,2.2,B,,Titanite,Item Discovery +,5,0,5.91,52,86,39.09
Prisoner's Tatters,11,12,10,10,11,12,16,13,0,13,10,0,0,25,2.2,B,,Titanite,Item Discovery +,5,0,5.91,52,84,38.18
Monastery Longshirt+5,60,63,55,55,53,39,34,38,0,66,42,37,44,55,1.6,B,,Twinkling Titanite,,37.5,0,25.63,164,337,210.63
Monastery Longshirt,40,42,37,37,35,26,23,26,0,44,28,25,30,55,1.6,B,,Twinkling Titanite,,25,0,17.19,110,226,141.25
Red Lion Warrior Cape+10,68,71,66,66,32,30,30,53,0,24,23,47,95,55,1.5,B,,Titanite,Reduces Falling Damage,45.33,0,24.17,145,348,232
Lion Warrior Cape+10,56,58,55,55,24,23,23,43,0,16,15,43,81,55,1.5,B,,Titanite,Reduces Falling Damage,37.33,0,18.83,113,281,187.33
Red Lion Warrior Cape,34,35,33,33,16,15,15,29,0,12,11,24,47,55,1.5,B,,Titanite,,22.67,0,12.5,75,176,117.33
Lion Warrior Cape,28,29,28,28,12,11,11,22,0,8,8,21,40,55,1.5,B,,Titanite,Reduces Falling Damage,18.67,0,9.33,56,141,94
Moon Butterfly Wings+5,72,79,68,68,37,25,38,32,0,68,29,39,42,35,1.4,B,,Twinkling Titanite,"Jump +, Fall Damage - ",51.43,0,23.57,132,347,247.86
Moon Butterfly Wings,48,52,45,45,25,16,25,21,0,46,20,26,28,35,1.4,B,,Twinkling Titanite,"Jump +, Fall Damage - ",34.29,0,15.54,87,229,163.57
